invoice_id,invoice_date,new_charges,overdue_charges,due_date,usage_charges,local_call,local_data,payment_method
8401707868,1/1/2020,$188.30,,15/1/2020,$788.13,$483.21,$151.43,e-wallet
7405671225,1/2/2020,$276.81,,15/2/2020,$512.44,$127.13,$419.15,e-wallet
1748766471,1/3/2020,$111.22,$46.31,15/3/2020,$798.34,$451.99,$329.17,e-wallet
4603644548,1/4/2020,$73.53,,15/4/2020,$923.44,$447.27,$52.49,credit card
2820952648,1/5/2020,$197.53,$68.21,15/5/2020,$19.92,$491.64,$214.11,cheque
8328353281,1/6/2020,$323.24,$68.53,15/6/2020,$904.40,$143.09,$36.36,e-wallet
5598856106,1/7/2020,$398.71,,15/7/2020,$156.35,$419.91,$278.29,e-wallet
9269687972,1/8/2020,$63.14,,15/8/2020,$228.88,$335.86,$436.26,e-wallet
9336379939,1/9/2020,$77.81,$290.77,15/9/2020,$777.75,$236.59,$387.92,credit card
6338366514,1/10/2020,$40.58,,15/10/2020,$764.80,$24.72,$317.91,e-wallet
8785236900,1/11/2020,$87.83,$198.06,15/11/2020,$537.56,$62.99,$437.77,e-wallet
1232942874,1/12/2020,$378.35,$330.13,15/12/2020,$882.14,$285.53,$315.08,credit card
3783542599,1/1/2020,$356.78,,15/1/2020,$196.18,$461.37,$205.13,credit card
6139999736,1/2/2020,$56.08,,15/2/2020,$927.48,$422.15,$127.98,e-wallet
5529685634,1/3/2020,$34.30,,15/3/2020,$631.30,$215.73,$388.58,cheque
3761682529,1/4/2020,$214.29,,15/4/2020,$93.95,$113.54,$332.94,cheque
3754552405,1/5/2020,$471.29,$172.29,15/5/2020,$724.69,$242.79,$70.18,cheque
5984205861,1/6/2020,$451.53,$238.32,15/6/2020,$723.14,$394.11,$237.65,credit card
0794882031,1/7/2020,$201.65,$203.22,15/7/2020,$344.60,$218.11,$18.10,credit card
9109340074,1/8/2020,$68.78,$404.31,15/8/2020,$234.64,$176.98,$184.64,credit card
2235923605,1/9/2020,$409.16,,15/9/2020,$598.28,$486.06,$492.26,credit card
5849734703,1/10/2020,$289.33,,15/10/2020,$499.63,$426.31,$397.03,e-wallet
4152842778,1/11/2020,$40.59,,15/11/2020,$129.37,$145.91,$406.00,cheque
8011438650,1/12/2020,$481.20,,15/12/2020,$770.73,$94.69,$76.12,e-wallet
4675784443,1/1/2020,$91.49,,15/1/2020,$805.82,$76.47,$387.39,credit card
1132668525,1/2/2020,$252.82,$493.02,15/2/2020,$37.01,$381.78,$262.50,cheque
6815044868,1/3/2020,$430.91,,15/3/2020,$589.16,$11.97,$49.73,cheque
9677575433,1/4/2020,$23.04,$190.26,15/4/2020,$859.07,$128.45,$257.55,cheque
4537591482,1/5/2020,$40.39,$374.06,15/5/2020,$481.06,$259.67,$4.47,e-wallet
2010847566,1/6/2020,$149.73,$64.65,15/6/2020,$721.56,$373.53,$336.87,e-wallet
3571871810,1/7/2020,$67.69,,15/7/2020,$9.18,$262.40,$128.86,e-wallet
6705038608,1/8/2020,$281.16,$76.33,15/8/2020,$333.40,$487.15,$263.72,cheque
5771010044,1/9/2020,$224.70,$468.16,15/9/2020,$572.68,$495.56,$497.14,credit card
7024805058,1/10/2020,$420.23,,15/10/2020,$467.58,$319.96,$432.65,e-wallet
5556785142,1/11/2020,$259.71,,15/11/2020,$987.72,$54.07,$492.56,e-wallet
6715794320,1/12/2020,$15.28,,15/12/2020,$138.13,$249.92,$87.58,credit card
4842878565,1/1/2020,$278.60,$339.74,15/1/2020,$637.22,$240.79,$81.92,e-wallet
9339112018,1/2/2020,$33.67,,15/2/2020,$626.17,$63.77,$451.34,credit card
8587600173,1/3/2020,$71.51,,15/3/2020,$76.57,$134.27,$365.18,cheque
6217930955,1/4/2020,$117.48,$259.51,15/4/2020,$799.34,$55.71,$268.62,cheque
0627255151,1/5/2020,$419.60,,15/5/2020,$218.87,$119.42,$468.46,e-wallet
9003402770,1/6/2020,$499.17,,15/6/2020,$343.47,$195.13,$395.62,e-wallet
6460015797,1/7/2020,$323.59,,15/7/2020,$354.56,$316.44,$281.43,credit card
3786086327,1/8/2020,$101.57,,15/8/2020,$273.15,$409.27,$297.66,e-wallet
5304375126,1/9/2020,$427.77,$325.19,15/9/2020,$226.86,$241.06,$144.40,credit card
3613523333,1/10/2020,$79.41,$155.72,15/10/2020,$534.45,$360.12,$306.35,e-wallet
4504826424,1/11/2020,$451.60,$494.88,15/11/2020,$625.43,$466.33,$413.79,e-wallet
7045436322,1/12/2020,$245.27,$241.55,15/12/2020,$449.80,$212.18,$178.03,cheque
3797480276,1/1/2020,$114.49,,15/1/2020,$376.21,$449.66,$98.74,cheque
4569386611,1/2/2020,$398.30,$231.81,15/2/2020,$625.33,$85.05,$489.38,cheque
8826288610,1/3/2020,$276.59,,15/3/2020,$723.80,$474.91,$300.08,e-wallet
5986634610,1/4/2020,$303.37,,15/4/2020,$248.87,$445.69,$148.46,credit card
1508448592,1/5/2020,$65.53,$257.38,15/5/2020,$361.01,$425.49,$155.53,credit card
0065538862,1/6/2020,$397.98,,15/6/2020,$17.07,$387.23,$144.51,e-wallet
2118072529,1/7/2020,$122.65,,15/7/2020,$816.83,$241.43,$428.49,cheque
8991036363,1/8/2020,$22.92,,15/8/2020,$335.28,$274.36,$270.81,e-wallet
